CODPRO;NOMEPRO;DESCPROCORTAM;ESTPROCORTAM;PRCOMPRAPRO;PRVENDAPRO;DTCADPRO;;;
106.461;BLUSA FEM MC COURO DET AMARRADO LIZIANE RICHTER CONSIG;PRETO - 36;1;769;1.699,03;15.07.2017;; R$ 769,00 ;1699,03
107.861;OCULOS MASC SOL ESPELHADO AVIADOR CRM42287 CARMIM;MADEIRA - UN;1;129;329;24.01.2018;; R$ 129,00 ;329
108.519;CALCA FEM FLERE ESTAMPADA FLORES PATBO;MARINHO - 40;1;370,83;899;13.03.2018;; R$ 370,83 ;899
107.174;CAMISETA MASC M/C ESTAMPADA ARAMIS;AZUL - P;2;44,92;119;26.10.2017;; R$ 89,84 ;238
114.801;CAMISETA MASC MC ESTAMPADA FEARLESS CALVIN KLEIN;CINZA - GG;1;58,64;129;04.06.2019;; R$ 58,64 ;129
114.801;CAMISETA MASC MC ESTAMPADA FEARLESS CALVIN KLEIN;CINZA - M;1;58,64;129;04.06.2019;; R$ 58,64 ;129
106.658;SAPATO FEM SCARPIN SALTO MEDIO ACAMURCADOS SCHUTZ;ROSE - 38;1;139,54;300;30.08.2017;; R$ 139,54 ;300
104.549;BLUSA FEM CROPPED ML/MC PATBO;PRATA - 34;1;427,27;949,01;26.01.2017;; R$ 427,27 ;949,01
106.582;SANDALIA FEM SALTO ALTO LISA MORENA ROSA CALCADOS;PRETO - 38;1;119,9;269;15.08.2017;; R$ 119,90 ;269
114.802;CAMISETA MASC MC ESTAMPADA LOGO CALVIN KLEIN];AZUL - P;1;54,09;119;04.06.2019;; R$ 54,09 ;119
114.802;CAMISETA MASC MC ESTAMPADA LOGO CALVIN KLEIN];CHUMBO - G;1;54,09;119;04.06.2019;; R$ 54,09 ;119
104.529;VESTIDO FEM MC CURTO BORD. PATBO;OFF WHITE - 38;1;890;1.958,98;10.01.2017;; R$ 890,00 ;1958,98
106.582;SANDALIA FEM SALTO ALTO LISA MORENA ROSA CALCADOS;PRETO - 39;1;119,9;269;15.08.2017;; R$ 119,90 ;269
104.836;BLUSA FEM REGATA BASICA FARM;VERDE CLARO - G;2;48,06;109;20.02.2017;; R$ 96,12 ;218
114.802;CAMISETA MASC MC ESTAMPADA LOGO CALVIN KLEIN];CHUMBO - P;1;54,09;119;04.06.2019;; R$ 54,09 ;119
114.804;CAMISETA MASC MC TEXTURIZADA ARAMIS;CINZA - P;1;80,64;189;05.06.2019;; R$ 80,64 ;189
107.163;CHINELO MASC ESTA CALVIN KLEIN;PRETO - 39/40;1;40,45;89;25.10.2017;; R$ 40,45 ;89
105.222;COLETE FEM FAUX FUR C/PELO SHOULDER;ONCA - P;1;198,22;439;10.03.2017;; R$ 198,22 ;439
104.550;CALCA FEM MALHA MESCLA PATBO;CINZA - 36;1;545,45;1.208,99;26.01.2017;; R$ 545,45 ;1208,99
107.640;BODY FEM UM OMBRO SO BABADO ESTAMPADO COLCCI;VERMELHO - P;1;89,98;203;04.12.2017;; R$ 89,98 ;203
114.806;CAMISA MASC ML XADREZ ARAMIS;BRANCO - G;1;131,68;299,01;05.06.2019;; R$ 131,68 ;299,01
114.806;CAMISA MASC ML XADREZ ARAMIS;BRANCO - GG;1;131,68;299,01;05.06.2019;; R$ 131,68 ;299,01
113.341;CALCA FEM PANTACUORT LACO PATBO;AZUL BEBE - 36;2;341,67;828,99;08.02.2019;; R$ 683,34 ;1657,98
114.806;CAMISA MASC ML XADREZ ARAMIS;BRANCO - XXG;1;131,68;299,01;05.06.2019;; R$ 131,68 ;299,01
107.408;VESTIDO FEM OMBRO CAIDO ESTAMPADO CURTO COLCCI;AMARELO - 38;1;127,79;288;16.11.2017;; R$ 127,79 ;288
104.527;VESTIDO FEM REGATA CURTO BORD. PEDRAS PATBO;PRETO - 36;1;2.225,00;4.899,01;05.01.2017;; R$ 2.225,00 ;4899,01
106.366;PULSEIRA FEM DETALHADA DONAIRE;GRAFITE - UN;1;20;49;20.06.2017;; R$ 20,00 ;49
111.815;VESTIDO FEM ALCA MIDI ESTAMPADO BOTOES PATBO;VERDE - 36;1;758,33;1.778,97;29.09.2018;; R$ 758,33 ;1778,97
114.806;CAMISA MASC ML XADREZ ARAMIS;MARINHO - M;1;131,68;299,01;05.06.2019;; R$ 131,68 ;299,01
114.806;CAMISA MASC ML XADREZ ARAMIS;MARINHO - XGG;1;131,68;299,01;05.06.2019;; R$ 131,68 ;299,01
104.574;VESTIDO FEM ALCA LONGO CJ C/ CINTO PATBO;ROSE - 40;1;1.081,82;2.388,98;01.02.2017;; R$ 1.081,82 ;2388,98
107.648;CAMISETA FEM M/C ESTAMPADA MAR PATBO;BRANCO - 38;1;249,82;609,01;05.12.2017;; R$ 249,82 ;609,01
104.518;VESTIDO FEM FRENTE UN CURTO BORD. PEDRAS PATBO;JEANS - 40;1;1.390,00;3.058,97;02.01.2017;; R$ 1.390,00 ;3058,97
106.984;BLUSA FEM ALCA TELA SHOULDER;AMARELO - P;1;132,55;299;09.10.2017;; R$ 132,55 ;299
104.518;VESTIDO FEM FRENTE UN CURTO BORD. PEDRAS PATBO;JEANS - 42;1;1.390,00;3.058,97;02.01.2017;; R$ 1.390,00 ;3058,97
104.897;BLUSA FEM ML BORDADA PATBO;VINHO/PRETO - 38;1;790,91;1.749,02;21.02.2017;; R$ 790,91 ;1749,02
104.898;BLUSA FEM ML PATBO;AZUL BEBE - 36;2;340,9;759,01;21.02.2017;; R$ 681,80 ;1518,02
106.442;MEIA MASC AM SAPATILHA41 A 44  LUPO;PRETO - UN;8;6,9;19;30.06.2017;; R$ 55,20 ;152
124.141;CASACO MASC SOBRE TUDO BOTOES PET GREE;MARROM - M;1;184,96;590;23.06.2021;; R$ 184,96 ;590
108.471;CALCA FEM JEANS COLORS FAIXA LATERAL CALVIN KLEIN;PRETO - 36;1;166,22;398,99;12.03.2018;; R$ 166,22 ;398,99
106.817;SANDALIA FEM SALTO ALTO MULTIMATERIAL SCHUTZ;PRETO - 36;1;172,09;369,99;20.09.2017;; R$ 172,09 ;369,99
104.575;SAIA FEM MIDI DET. ZIPER PATBO;CHUMBO - 40;1;450;999;01.02.2017;; R$ 450,00 ;999
124.153;CONJUNTO MASC BLUSA E CALCA MOLETOM ADIDAS;PRETO - G;1;230;569;30.06.2021;; R$ 230,00 ;569
115.332;CALCA MASC JEANS RETA LEVIS;JEANS - 30;1;149,08;359;16.08.2019;; R$ 149,08 ;359
108.772;CALCA MASC LY STEFAN SLIM 2ND FLOOR;PRETO - 38;2;99,9;249;26.03.2018;; R$ 199,80 ;498
